method,display_name,threshold,stored_min_score,class_sensitive_map50,class_sensitive_recall50,class_sensitive_precision50,localization_map50,localization_recall50,localization_precision50,run_dir
berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours),0.3,0.0009882054420363,0.2284508548763034,0.2724119530416222,0.883982683982684,0.2832683868597749,0.2894877267876201,0.9393939393939394,.\outputs\fresh_benchmark_514\03_detection\runs\20260705_142348_berrymtl_specialist_adapter_fusion_uncertainty_seed42
berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours),0.5,0.0009882054420363,0.051446232452518025,0.061899679829242264,0.9469387755102041,0.0636485907640047,0.06430096051227321,0.9836734693877551,.\outputs\fresh_benchmark_514\03_detection\runs\20260705_142348_berrymtl_specialist_adapter_fusion_uncertainty_seed42
berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours),0.0,0.001209233091594,0.3687990985192913,0.5400213447171825,0.4071615369141018,0.5169933644899627,0.5872465314834578,0.4427680547173607,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_215800_berrymtl_teacher_aligned_det_seed42
berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours),0.03,0.001209233091594,0.36592053641048317,0.528281750266809,0.5207785376117833,0.5106674473008086,0.575240128068303,0.5670699631772751,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_215800_berrymtl_teacher_aligned_det_seed42
berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours),0.05,0.001209233091594,0.36214175549115046,0.5178762006403416,0.5634252539912917,0.5040296676591881,0.564034151547492,0.6136429608127721,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_215800_berrymtl_teacher_aligned_det_seed42
berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours),0.08,0.001209233091594,0.35201164423997416,0.4957310565635005,0.617686170212766,0.4876802167514451,0.5386872998932765,0.6712101063829787,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_215800_berrymtl_teacher_aligned_det_seed42
berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours),0.1,0.001209233091594,0.34519673441050075,0.4794557097118463,0.6539301310043668,0.4745699974527853,0.5197438633938101,0.7088791848617176,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_215800_berrymtl_teacher_aligned_det_seed42
berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours),0.12,0.001209233091594,0.3331215839839304,0.45757737459978653,0.681637519872814,0.4567848860860487,0.4951974386339381,0.7376788553259142,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_215800_berrymtl_teacher_aligned_det_seed42
berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours),0.15,0.001209233091594,0.31678963147543604,0.4247598719316969,0.7366959740860712,0.4275599635339814,0.4567769477054429,0.7922258213789912,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_215800_berrymtl_teacher_aligned_det_seed42
berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours),0.2,0.001209233091594,0.28173518495668365,0.3511205976520811,0.807361963190184,0.3591957066812529,0.37433297758804696,0.8607361963190184,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_215800_berrymtl_teacher_aligned_det_seed42
