method,display_name,model_type,detection_mAP50,segmentation_fg_mIoU,counting_MAE,classification_macro_F1,delta_detection_percent,delta_segmentation_percent,delta_counting_percent,delta_classification_percent,delta_m_percent
integrated_specialists,Integrated best specialists,four-model upper bound,0.4160884131986638,0.4872713121091362,13.85836038961039,0.7254474104155516,0.0,0.0,0.0,0.0,0.0
berrymtl_centerdet_hitile_quality,BerryMTL-HiTile-QualityDet,single unified model,0.3364136857603444,0.4607562024745832,9.18453226461039,0.6779516172442601,-19.1485090454269,-5.441549497298192,33.72569332591443,-6.547103551460042,0.6471328079323238
berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet,single unified model,0.3687990985192913,0.4690939590939386,9.93559760551948,0.664697721977655,-11.365208253658801,-3.7304377588981414,28.306110346443326,-8.374099564722124,1.2090911922910648
berrymtl_specialist_guided_distill,BerryMTL-SpecialistGuidedDistill,single unified model,0.3538769583765075,0.4615089105999153,9.272372159090908,0.6725954500223918,-14.951498972035319,-5.287075366228582,33.09185287140891,-7.285429603075574,1.3919622325173588
berrymtl_specialist_adapter_fusion,BerryMTL-SpecialistAdapterFusion,single unified model,0.3718364139927505,0.4726097569529354,9.475370332792208,0.6706774957063263,-10.635239483293397,-3.008909983380473,31.627046299821362,-7.549811870973797,2.6082712405434236
berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW,single unified model,0.37139324826618,0.4731159555705515,9.46114042207792,0.6750937877065353,-10.74174706978535,-2.9050256370139538,31.729727355258163,-6.941043828411036,2.7854777050119557
