method,display_name,class_id,class_name,tp,fp,fn,gt,pred,fn_rate,fp_per_gt
ssd300_vgg16,SSD300 VGG16,4,fully_ripe,297,197,621,918,494,0.6764705882352942,0.21459694989106753
ssd300_vgg16,SSD300 VGG16,5,over_ripe,4,14,129,133,18,0.9699248120300752,0.10526315789473684
ssdlite320_mobilenet_v3_large,SSDLite MobileNetV3,1,green_immature,63,1599,2400,2463,1662,0.97442143727162,0.6492082825822169
ssdlite320_mobilenet_v3_large,SSDLite MobileNetV3,2,pale_pink,6,13,100,106,19,0.9433962264150944,0.12264150943396226
ssdlite320_mobilenet_v3_large,SSDLite MobileNetV3,3,pink_turns_purple,2,24,126,128,26,0.984375,0.1875
ssdlite320_mobilenet_v3_large,SSDLite MobileNetV3,4,fully_ripe,77,465,841,918,542,0.9161220043572985,0.5065359477124183
ssdlite320_mobilenet_v3_large,SSDLite MobileNetV3,5,over_ripe,0,45,133,133,45,1.0,0.3383458646616541
maskrcnn_resnet50_fpn,Mask R-CNN ResNet-50 FPN,1,green_immature,1392,1032,1071,2463,2424,0.4348355663824604,0.4190012180267966
maskrcnn_resnet50_fpn,Mask R-CNN ResNet-50 FPN,2,pale_pink,58,58,48,106,116,0.4528301886792453,0.5471698113207547
maskrcnn_resnet50_fpn,Mask R-CNN ResNet-50 FPN,3,pink_turns_purple,69,80,59,128,149,0.4609375,0.625
maskrcnn_resnet50_fpn,Mask R-CNN ResNet-50 FPN,4,fully_ripe,558,433,360,918,991,0.39215686274509803,0.47167755991285404
maskrcnn_resnet50_fpn,Mask R-CNN ResNet-50 FPN,5,over_ripe,32,73,101,133,105,0.7593984962406015,0.5488721804511278
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),1,green_immature,452,936,2011,2463,1388,0.8164839626471783,0.3800243605359318
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),2,pale_pink,37,50,69,106,87,0.6509433962264151,0.4716981132075472
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),3,pink_turns_purple,39,68,89,128,107,0.6953125,0.53125
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),4,fully_ripe,221,288,697,918,509,0.7592592592592593,0.3137254901960784
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),5,over_ripe,16,95,117,133,111,0.8796992481203008,0.7142857142857143
berrymtl_roi_attention,BerryMTL-ROI-Attention (ours),1,green_immature,607,936,1856,2463,1543,0.7535525781567195,0.3800243605359318
berrymtl_roi_attention,BerryMTL-ROI-Attention (ours),2,pale_pink,42,65,64,106,107,0.6037735849056604,0.6132075471698113
berrymtl_roi_attention,BerryMTL-ROI-Attention (ours),3,pink_turns_purple,50,87,78,128,137,0.609375,0.6796875
berrymtl_roi_attention,BerryMTL-ROI-Attention (ours),4,fully_ripe,326,421,592,918,747,0.644880174291939,0.45860566448801743
berrymtl_roi_attention,BerryMTL-ROI-Attention (ours),5,over_ripe,19,100,114,133,119,0.8571428571428571,0.7518796992481203
berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours),1,green_immature,452,955,2011,2463,1407,0.8164839626471783,0.38773853024766547
berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours),2,pale_pink,37,60,69,106,97,0.6509433962264151,0.5660377358490566
berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours),3,pink_turns_purple,40,70,88,128,110,0.6875,0.546875
berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours),4,fully_ripe,238,320,680,918,558,0.7407407407407407,0.3485838779956427
berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours),5,over_ripe,18,108,115,133,126,0.8646616541353384,0.8120300751879699
berrymtl_centerdet,BerryMTL-CenterDet (ours),1,green_immature,1068,13156,1395,2463,14224,0.5663824604141291,5.341453511977264
berrymtl_centerdet,BerryMTL-CenterDet (ours),2,pale_pink,47,799,59,106,846,0.5566037735849056,7.537735849056604
berrymtl_centerdet,BerryMTL-CenterDet (ours),3,pink_turns_purple,67,789,61,128,856,0.4765625,6.1640625
berrymtl_centerdet,BerryMTL-CenterDet (ours),4,fully_ripe,406,6132,512,918,6538,0.5577342047930284,6.6797385620915035
berrymtl_centerdet,BerryMTL-CenterDet (ours),5,over_ripe,21,542,112,133,563,0.8421052631578947,4.075187969924812
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),1,green_immature,1143,12484,1320,2463,13627,0.535931790499391,5.0686155095412095
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),2,pale_pink,48,661,58,106,709,0.5471698113207547,6.235849056603773
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),3,pink_turns_purple,58,679,70,128,737,0.546875,5.3046875
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),4,fully_ripe,431,3670,487,918,4101,0.5305010893246187,3.997821350762527
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),5,over_ripe,38,757,95,133,795,0.7142857142857143,5.69172932330827
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),1,green_immature,1136,14224,1327,2463,15360,0.5387738530247665,5.775071051563135
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),2,pale_pink,45,282,61,106,327,0.5754716981132075,2.660377358490566
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),3,pink_turns_purple,53,311,75,128,364,0.5859375,2.4296875
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),4,fully_ripe,380,3007,538,918,3387,0.5860566448801743,3.275599128540305
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),5,over_ripe,33,449,100,133,482,0.7518796992481203,3.3759398496240602
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),1,green_immature,1193,10122,1270,2463,11315,0.5156313438895656,4.109622411693057
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),2,pale_pink,45,312,61,106,357,0.5754716981132075,2.943396226415094
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),3,pink_turns_purple,52,208,76,128,260,0.59375,1.625
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),4,fully_ripe,428,1974,490,918,2402,0.5337690631808278,2.150326797385621
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),5,over_ripe,20,298,113,133,318,0.849624060150376,2.2406015037593985
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),1,green_immature,1262,8755,1201,2463,10017,0.4876167275680065,3.5546082013804305
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),2,pale_pink,39,235,67,106,274,0.6320754716981132,2.2169811320754715
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),3,pink_turns_purple,55,214,73,128,269,0.5703125,1.671875
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),4,fully_ripe,388,1805,530,918,2193,0.5773420479302832,1.9662309368191722
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),5,over_ripe,33,298,100,133,331,0.7518796992481203,2.2406015037593985
berrymtl_centerdet_decoupled_residual,BerryMTL-DecoupledCenterDet+ResidualCount (ours),1,green_immature,1229,7139,1234,2463,8368,0.5010150223304912,2.898497766950873
berrymtl_centerdet_decoupled_residual,BerryMTL-DecoupledCenterDet+ResidualCount (ours),2,pale_pink,39,191,67,106,230,0.6320754716981132,1.8018867924528301
berrymtl_centerdet_decoupled_residual,BerryMTL-DecoupledCenterDet+ResidualCount (ours),3,pink_turns_purple,53,156,75,128,209,0.5859375,1.21875
berrymtl_centerdet_decoupled_residual,BerryMTL-DecoupledCenterDet+ResidualCount (ours),4,fully_ripe,448,1517,470,918,1965,0.5119825708061002,1.6525054466230937
