stem,filename,image_path,semantic_mask_path,foreground_iou,true_foreground_pixels,pred_foreground_pixels,foreground_pixel_error,iou_green_immature,iou_pale_pink,iou_pink_turns_purple,iou_fully_ripe,iou_over_ripe
20260430_105347,20260430_105347.jpg,.\data\combined_514\images\20260430_105347.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_105347.png,0.592052448488092,6172,5727,-445,0.5496053242532116,0.5981524249422633,0.0,0.6241610738255033,0.0
20260430_105507,20260430_105507.jpg,.\data\combined_514\images\20260430_105507.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_105507.png,0.7991931869116988,12197,11887,-310,0.7188612099644128,0.0,0.0,0.7290536467751657,0.0
20260430_105529,20260430_105529.jpg,.\data\combined_514\images\20260430_105529.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_105529.png,0.7976196143775292,19547,18212,-1335,0.715711383908858,0.0,0.0,0.8701745758544381,0.0
20260430_105552,20260430_105552.jpg,.\data\combined_514\images\20260430_105552.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_105552.png,0.6889681668496158,15522,15251,-271,0.6093988895147663,0.0,0.0,0.5623137598597722,0.0
20260430_105607,20260430_105607.jpg,.\data\combined_514\images\20260430_105607.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_105607.png,0.73489336492891,9018,8553,-465,0.4400614754098361,0.2038369304556355,0.0,0.7025112685125563,0.0
20260430_105707,20260430_105707.jpg,.\data\combined_514\images\20260430_105707.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_105707.png,0.5944933202997719,10431,9143,-1288,0.5509604076832615,0.6126373626373627,0.8078994614003591,0.7612428454619787,0.0
20260430_105805,20260430_105805.jpg,.\data\combined_514\images\20260430_105805.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_105805.png,0.720029839612085,10668,12389,1721,0.5871916919082648,0.6127722406792174,0.0,0.562006502554575,0.0
20260430_105937,20260430_105937.jpg,.\data\combined_514\images\20260430_105937.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_105937.png,0.7977013733320347,18389,18525,136,0.6806748783769796,0.28883495145631066,0.0,0.8667905248490478,0.0
20260430_110121,20260430_110121.jpg,.\data\combined_514\images\20260430_110121.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_110121.png,0.7416757641921398,6141,6622,481,0.6037450921171852,0.6519337016574586,0.5276145710928319,0.7365967365967366,0.0
20260430_110309,20260430_110309.jpg,.\data\combined_514\images\20260430_110309.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_110309.png,0.7652648825778263,8186,7975,-211,0.7357969489742241,0.0,0.9055007052186178,0.8776223776223776,0.0
