batch_image_index,gt_label,pred_label,score,iou
0,4,5,0.459077831747596,0.9007136328549584
0,1,1,0.4434615215430628,0.6390912837385778
0,1,1,0.3626601559672166,0.8151553619926102
0,1,1,0.3417607879161852,0.7402585752060539
0,1,1,0.3011493539306163,0.7063695763405755
0,1,1,0.2839292443505858,0.7201376378499312
0,1,1,0.2731904889812958,0.7546772522745864
0,1,1,0.2648414621506894,0.5425139430414895
0,1,1,0.2277819156977863,0.7725789416280375
0,1,1,0.217010292919105,0.5657392795491785
0,1,1,0.2147747256709937,0.6472613714396618
0,1,1,0.2076755219926555,0.572864581127705
0,1,1,0.2029704293007226,0.7367958760499375
0,4,5,0.2002479212059172,0.7379906096166662
0,1,1,0.1882962327901606,0.6368787354537644
0,1,1,0.1863100748698088,0.5323992990200064
0,1,1,0.1856427143247931,0.6790809862591514
0,1,1,0.1855848776381819,0.596475350778121
0,1,1,0.1792757956157288,0.5965692852597664
0,1,1,0.1744329752109754,0.5908909168081147
0,1,1,0.169678394136545,0.5376145212095274
0,3,3,0.1594574368112326,0.7428844798481632
0,1,1,0.1593111960001822,0.5981928927110743
0,1,1,0.1580215943250688,0.7301887552788907
0,4,5,0.156420240384896,0.6308872549761195
0,1,1,0.1460057523072012,0.5663969031020835
0,1,1,0.1386593839099097,0.6939111409072362
0,1,1,0.1355659472670637,0.6674842397694554
0,1,1,0.1328412078125544,0.541428684621312
0,4,5,0.1290075127670965,0.8358244968509119
0,1,1,0.1267149286930002,0.5244771064758849
0,4,4,0.1235713887200515,0.5689875092734185
0,1,1,0.1112588081915083,0.7912094836122947
0,4,5,0.1090813659708695,0.7162725468797912
0,1,1,0.1087752277665992,0.8325130484556457
0,3,3,0.1007640179186322,0.7854227167910535
0,1,1,0.0986158673753549,0.5432102097255197
0,1,1,0.0935088902822936,0.5012757734288502
0,1,1,0.0885072309013544,0.7126950597099038
0,1,1,0.0866219614620843,0.6729827245618453
0,5,5,0.086422527197462,0.7458166734607966
0,4,4,0.0863429384975055,0.5142990693687239
0,3,3,0.08520103145193,0.6575824041319646
0,1,1,0.0747137954225519,0.6176365652835585
0,4,4,0.0547819890038963,0.5712661245013934
0,4,4,0.040276979607187,0.5993370091861413
1,1,1,0.4659308380897045,0.6970812452065557
1,1,1,0.4538126486316765,0.7091782747261098
1,3,3,0.3748460754234829,0.7280888249324382
1,1,1,0.3391979446923163,0.9405256692703575
1,3,2,0.3295486275630809,0.7585612027759736
1,1,1,0.3169771856160121,0.5505492185444202
1,3,3,0.312570851189085,0.7265522788387773
1,3,3,0.3115822822497177,0.8644670862291712
1,2,2,0.3079686184414679,0.7087040100225754
1,2,2,0.2974989431036441,0.7675806378342209
1,1,1,0.2960088924972133,0.6800685215283168
1,1,1,0.2641483687553473,0.6173064123463093
1,1,1,0.2591062598353138,0.7623122523902393
1,1,1,0.2589171348284046,0.7204020967692307
1,4,5,0.2537715327814865,0.7688718499232663
1,1,1,0.2465978126308046,0.5317497831314941
1,1,1,0.2399682242115698,0.5916818155674223
1,1,1,0.2327338834082883,0.6524548068990903
1,1,1,0.2216749584104881,0.5611527401307811
1,1,1,0.2158738115778981,0.6560764367005932
1,4,4,0.2148437775606581,0.7285768951144062
1,4,4,0.2087569559008806,0.8128840618606278
1,3,2,0.2066942402094625,0.7905362437218293
1,1,1,0.2022218829929253,0.5321853033432665
1,1,1,0.1999484020547504,0.804254315545863
1,4,5,0.1980037343147867,0.8704777020866082
1,1,1,0.196358265630989,0.5694362413021563
1,1,1,0.1882486266157034,0.6492590161138695
1,1,1,0.1880392196050895,0.7947652052487139
1,1,1,0.1786847983794456,0.6370853027887675
1,1,1,0.1661280304030332,0.6280693830451748
1,1,1,0.1642165502698172,0.7038561602775844
1,4,5,0.1625128021396598,0.7207651104216972
1,1,1,0.1583217721823199,0.6704259128960467
1,4,4,0.1498373112969441,0.7689306878551706
1,1,1,0.1497787637934068,0.7659372027067953
1,1,1,0.1423168616252625,0.7202408454215787
1,1,1,0.1412338928189355,0.7328634527201835
1,1,1,0.1400292899307618,0.6902666576509932
1,4,4,0.1346988501700752,0.7940322137397465
1,5,5,0.1345041585272751,0.7326479935431047
1,4,4,0.1337449235978471,0.6226802534154451
1,4,5,0.129723947986039,0.6212649561090308
1,1,1,0.1137053345914576,0.7006526959930379
1,3,3,0.1037389963913453,0.744962054024097
1,4,4,0.1024851260591505,0.8365562847414157
1,1,1,0.1002144932415227,0.6758682996562615
1,4,5,0.0976142340284861,0.6469495700737582
1,1,1,0.0842060950947668,0.6381880661709532
1,4,5,0.0800818341143824,0.5392928509454232
1,4,5,0.0800240029659527,0.6968463217413751
1,1,1,0.0735509829930111,0.6466090112727549
1,4,1,0.072037613084842,0.681271358971684
1,1,1,0.0701073664193918,0.6413863480570277
1,1,1,0.0661014397914448,0.6100374426200932
1,4,4,0.0639307974193627,0.6981354072006516
1,4,4,0.0607494457472451,0.766900063497525
1,1,1,0.0545847782303793,0.5663578039286433
1,4,4,0.0475233263100236,0.6691822126230964
2,1,1,0.4433957062642188,0.7549421517649824
2,1,1,0.4409585941647025,0.810001695833863
2,1,1,0.4285248054619178,0.5868594428457486
2,1,1,0.4109329839359186,0.835068261419911
2,1,1,0.4012740316887777,0.6221168399430187
2,1,1,0.3929776453585423,0.6258011352060304
2,1,1,0.3543719803644329,0.6747919350078503
2,1,1,0.3391329188982489,0.6279749810419302
2,4,4,0.3313854590979377,0.7786515316310696
2,3,3,0.3194983215959284,0.7779805071098762
2,4,3,0.308473082598505,0.558949469380931
2,1,1,0.3052790889035587,0.5711444245874944
2,1,1,0.3038450516743978,0.7681013612010549
2,5,5,0.2947948271223521,0.5030459078366989
2,4,3,0.2825241867942331,0.7553104182628612
2,1,1,0.2794691240592912,0.8453482265030428
2,1,1,0.273577288993746,0.7865132909696346
2,1,1,0.2651896817229405,0.5583610826357415
2,1,1,0.2577217744777747,0.7821762627257829
2,5,5,0.2437576740698801,0.725382290691592
2,1,1,0.2266337681845281,0.7161696546780798
2,1,1,0.2265237122766614,0.6934079914178265
2,4,4,0.2261910039056627,0.70811707557422
2,4,5,0.213423915829185,0.7141172832809596
2,1,1,0.2059248417891064,0.7492643415827797
2,3,3,0.2048855682992602,0.6446451412847723
2,5,4,0.2028525048375481,0.5773835541885752
2,4,3,0.2004654266989833,0.6021650195109605
2,4,5,0.1821036224036654,0.7509290837088718
2,1,1,0.1721506419494351,0.6321493005747538
2,1,1,0.1630002923893478,0.620102105187717
2,4,4,0.1596751908961634,0.7419289972532189
2,1,1,0.156833253026933,0.7872662820423451
2,2,2,0.1538978571662442,0.725185720697187
2,4,5,0.1536238358038597,0.5031474337413546
2,1,1,0.1512592522925525,0.533341676239375
2,4,4,0.1505631623294167,0.5208888107395744
2,1,1,0.1436541561195711,0.6762553863967627
2,1,1,0.1434537888194637,0.5500645313408483
2,1,1,0.13977359572255,0.5781646603482538
2,1,1,0.1306398727319604,0.6773128701124194
2,4,5,0.1202753129584438,0.6818762516805886
2,1,1,0.1158741711797256,0.6618129040376344
2,5,4,0.1150491990971201,0.6642690557654917
2,1,1,0.1117318953767698,0.6844480875047103
2,4,5,0.1088098385977153,0.7155944692390745
2,1,1,0.1067825111945196,0.5751608717059532
2,1,1,0.0976891045815299,0.5739408412484199
2,1,1,0.0961578235677959,0.59843416230011
2,1,1,0.0959661912683545,0.597605410040264
2,5,5,0.0910584840885853,0.644721497487055
2,1,1,0.083524440852217,0.8464373760573718
2,1,1,0.0763091548402616,0.6098146897697938
2,1,1,0.0748550289053299,0.5760246116129683
2,4,4,0.0726658174093122,0.7321497430698477
2,1,1,0.0696838833208646,0.513181781540058
2,3,2,0.0683960458965673,0.6956969123388987
2,1,1,0.0503427234180612,0.6045139920234486
3,1,1,0.5192470878698556,0.7178284079967554
3,1,1,0.4342283975425442,0.7410789678173721
3,1,1,0.4222413467170908,0.8967633969488141
3,1,1,0.386712423953381,0.8100465921230964
3,3,2,0.3630069353799247,0.795239285561267
3,3,2,0.3424678701902803,0.6602878909437591
3,1,1,0.3326586353670824,0.5407136367341664
3,3,3,0.3270302651853156,0.6955172170927423
3,3,2,0.3201358488432637,0.7684579228756225
3,1,1,0.309437530359752,0.7739206914693788
3,1,1,0.3052363693227085,0.8223678920790746
3,1,1,0.2891429946275382,0.7762966592741821
3,2,1,0.2864296297066268,0.7194689887513542
3,1,1,0.2774699995739684,0.546918017599572
3,1,1,0.2763102106102577,0.7290793528840998
3,4,4,0.2645339132777362,0.8125668832201184
3,5,4,0.26042304220041,0.73956168844316
3,1,1,0.2545586127901622,0.7732802797138911
3,1,1,0.2491511570133142,0.6417918665831934
3,1,1,0.2371266379848391,0.8921277680864752
3,4,4,0.2353486205769608,0.564217182588644
3,1,1,0.2303027474662081,0.7984733321253259
3,4,5,0.2241817342694441,0.5633427461703353
3,1,1,0.2052802579283641,0.8628107177947529
3,4,5,0.2025645305309214,0.594878436537509
3,5,5,0.2013870974570084,0.7886682134162629
3,1,1,0.1975057638591196,0.6864152177413642
3,5,5,0.1859385231362214,0.6116293711193987
3,1,1,0.1848588300690298,0.584834346418472
3,1,1,0.1795107437760144,0.7180831455487522
3,1,1,0.1747722563470133,0.7338103524357357
3,1,1,0.1734271598785766,0.7340519030721626
3,1,1,0.1698224412848829,0.6121791163158246
3,1,1,0.169820294617129,0.6214373098520223
3,5,5,0.1644201911929803,0.6245426634709281
3,1,1,0.1606177261947113,0.7169305830096657
3,1,1,0.158138508379187,0.5189676490744559
3,4,4,0.1492272023649642,0.5912183529678382
3,1,1,0.148721282179217,0.6370516769057302
3,5,5,0.1456678487549808,0.9188762881206617
3,1,1,0.1442608409657564,0.5030443723086173
3,1,1,0.1435577366989766,0.5762061931100185
3,1,1,0.1416155888864487,0.7204645164859639
3,3,3,0.140997779759721,0.7023956985420803
3,4,4,0.1348654869426594,0.7432362308892625
3,1,1,0.1314605725519504,0.6042270742745091
3,1,1,0.1285145035793117,0.6894541881742967
3,1,1,0.1209895499907345,0.6924858635816254
3,1,4,0.1207400770553365,0.5469436306905909
3,1,1,0.1202229736796055,0.6821930655263456
3,1,1,0.1193277600046397,0.5655074178355795
3,4,3,0.1109419368842567,0.8032148588073942
3,1,1,0.1059738533621346,0.6078659741774906
3,1,1,0.1041678177739822,0.5533919709771058
3,3,3,0.0992289745025654,0.8780143700792167
3,4,5,0.0966444327436613,0.6300049749691202
3,1,1,0.0918054025313732,0.7441939364807025
3,1,1,0.0894510273949893,0.6111874199171665
3,5,4,0.0879547248385943,0.6309522578468114
3,3,3,0.0781045879088444,0.6230189731789588
3,1,1,0.0702927508367019,0.7816293918705166
4,3,3,0.523298294489722,0.7383927371535698
4,5,5,0.3573228851703034,0.6030863578940039
4,3,3,0.3505892535404074,0.6445419843994357
4,1,1,0.334612518201226,0.6902772791525849
4,2,2,0.3325695858518684,0.7443642919147618
4,4,5,0.3185810542062184,0.8379232016380332
4,1,1,0.3107540654102705,0.7573443566140657
4,5,4,0.3079911704333397,0.74975105016272
4,2,2,0.2977284163940171,0.5783394213137614
4,5,5,0.284207187080746,0.7888857916341323
4,1,1,0.2825101475679001,0.8014228516170361
4,1,1,0.278586399247733,0.6483310928928043
4,1,1,0.2779561349030598,0.5714986613226137
4,5,5,0.2626424991579915,0.8186671410611628
4,5,5,0.2590004689575927,0.6069131546614327
4,5,4,0.2398070776764089,0.7273142119853954
4,1,1,0.2227548386530223,0.7509182838009191
4,1,1,0.213528299010607,0.6987543033883787
4,5,5,0.2134654817312098,0.631580611952237
4,5,5,0.2134280765356119,0.8500144959770859
4,1,1,0.208648310708398,0.6302034656328033
4,2,2,0.1987441497407845,0.5899227131742352
4,5,4,0.1968066871305733,0.5564108024687731
4,5,4,0.193606631911652,0.7957593082281466
4,5,4,0.1924342324468907,0.7666044021892576
4,1,1,0.1923828570809549,0.6252783657542323
4,1,1,0.1816140989485039,0.7616027528597865
4,1,1,0.1809588898598844,0.5588707942723201
4,1,1,0.1800810301768563,0.507980888824476
4,1,1,0.1788591620015955,0.5231515752557659
4,1,1,0.1785415767833562,0.7448297841265231
4,2,2,0.1752902133582753,0.558374486779727
4,1,1,0.170563106728754,0.8272542251700034
4,1,1,0.1694109355748917,0.7557559216259686
4,5,4,0.1677607660893516,0.8268955820643704
4,2,3,0.1616136016174733,0.5059316029449218
4,1,1,0.1591601396169823,0.617280382317348
4,1,1,0.1582967792116597,0.6171573943622221
4,5,5,0.1481436297586703,0.6200851697966908
4,5,4,0.1434234120962418,0.7065637102129693
4,4,5,0.1430844427686535,0.5081060982393918
4,1,1,0.1418490048091822,0.7348807716524595
4,4,4,0.1409631806975838,0.5025794622045305
4,5,4,0.1302732805061274,0.6740556037201563
4,1,1,0.1282022104276263,0.5540417102254325
4,5,4,0.1245137720865541,0.5918208893600531
4,5,4,0.1232148083919954,0.7604085134178012
4,1,1,0.1171408091389322,0.595579823393601
4,1,1,0.1131514635563788,0.6578704932637658
4,1,1,0.1084129338323944,0.5657782356437259
4,5,5,0.1032734924719182,0.6960807067208816
4,4,4,0.1001079474615823,0.5920364332641677
4,4,5,0.0967951305460994,0.608485459363559
4,1,1,0.0967865346066774,0.572792125291553
4,3,2,0.0955442696540282,0.6925325992473801
4,1,1,0.0908480990535024,0.527761350104945
4,1,1,0.0874538626438152,0.6765688741867822
4,1,1,0.0854944239856672,0.6239691424496727
4,1,1,0.0822817496339857,0.5021079328571354
4,4,4,0.0803076956947287,0.6917213904504417
4,1,1,0.0724098254129729,0.5880099953012796
5,1,1,0.4282816662648341,0.832054494995128
5,1,1,0.4081814599150818,0.823665684066017
5,1,1,0.3650875095210498,0.8125948399472197
5,1,1,0.3470193310998826,0.752750882383204
5,1,1,0.342562571771335,0.6445035369090187
5,1,1,0.3376605832096693,0.7619102149405939
5,5,4,0.3270727687675682,0.5362919096210214
5,1,1,0.3239476068464189,0.6122849631103576
5,1,1,0.3236288079479639,0.5216344807843027
5,5,4,0.3234768471394495,0.712670539693869
5,1,1,0.3219980437641521,0.7115064677627161
5,1,1,0.3188951750687247,0.7509452045815247
5,5,4,0.3153634886551806,0.7292053606967269
5,3,3,0.3012810665055103,0.5662464987464236
5,1,1,0.2982533630616245,0.8031767392593341
5,1,1,0.2953254979981315,0.6972290882704149
5,1,1,0.2806668689043001,0.7813728659752623
5,2,2,0.2711388558819131,0.6924171501261586
5,1,1,0.268358131295202,0.8487828579752755
5,1,1,0.2548845631446312,0.7172263514842089
5,4,4,0.2526168345162028,0.8418964605652867
5,1,1,0.2517808690970016,0.6683899554289711
5,1,1,0.244963120256708,0.5423160398576095
5,1,1,0.234022774225801,0.6732661887405034
5,1,1,0.2321061573633359,0.6792621631697506
5,5,5,0.2317285149420141,0.6364152657104615
5,5,5,0.2296144680476005,0.5740840711794251
5,1,1,0.2277508948607352,0.7219741983869299
5,1,1,0.2205025154415004,0.6295669053100396
5,1,1,0.2109073564637285,0.6203206161682834
5,1,1,0.2098578374464614,0.6691884467892758
5,5,4,0.2079316253087861,0.7221091323171955
5,4,4,0.2071093372204376,0.7217655295704167
5,1,1,0.2050034277186338,0.743820180372508
5,1,1,0.2014379016449787,0.7836994898385474
5,1,1,0.2004806654995044,0.7394989325104941
5,1,1,0.1934008926239565,0.750758245208011
5,1,1,0.1906217685808374,0.6445564391525171
5,1,1,0.1839019774371927,0.649326245869918
5,1,1,0.1837127997054616,0.6990092111302689
5,1,1,0.1830649196257307,0.6195369727199979
5,1,1,0.1772940399088622,0.7514444056443729
5,3,4,0.1729326545276235,0.5627274849404188
5,1,1,0.1665301987507097,0.6041907482544998
5,1,1,0.166344769021128,0.7389713401933065
5,5,5,0.160281697684587,0.8497371343185625
5,1,1,0.1592671639970381,0.5063232884001438
5,1,1,0.1525894897416211,0.7629751356152694
5,1,1,0.1452630792193458,0.6999702097648715
5,5,4,0.1450999720805688,0.6629218285647127
5,5,4,0.1389087883324084,0.5242343596933368
5,1,1,0.1344792976522938,0.6773737910437096
5,1,1,0.1225216583545195,0.5266532653581765
5,5,4,0.1142936275282147,0.5223602289414132
5,1,5,0.1105478238251228,0.5959287266051753
5,1,1,0.1067844600362857,0.7074160475548835
5,1,1,0.1031438453225153,0.6322995783560238
5,1,1,0.0963398946665785,0.5380411267995076
5,1,1,0.0958248701526786,0.6014531608494026
5,1,1,0.0892734076423634,0.5830981419475177
5,1,1,0.0804233997357033,0.770013989580322
5,1,1,0.0745407261472426,0.6357410780620498
5,1,1,0.0614944889016203,0.5716623612993926
5,1,1,0.0534231473146459,0.6035773989487901
6,1,1,0.3909591396465083,0.715138044553317
6,4,4,0.3894716971252863,0.8412777821911183
6,2,2,0.3454395428876555,0.6596516123518888
6,1,1,0.3416548288349945,0.7465547978884218
6,1,1,0.3283343915730228,0.7709619620577867
6,3,3,0.322142840487609,0.7406291476652224
6,1,1,0.3182362892689555,0.6608007387124086
6,1,1,0.3003069500436424,0.7543477946871575
6,4,5,0.2991023633905172,0.5150807541207446
6,1,1,0.2806658815601043,0.7858362761383723
6,1,1,0.2788578013726239,0.7710422835853993
6,4,4,0.2780661309037533,0.687965235870722
6,3,2,0.2777876776500539,0.6212045190848917
6,1,1,0.2724879617934738,0.7420012985154006
6,1,1,0.2647147849215939,0.7377515520368303
6,3,3,0.2615227954176454,0.5638163837328025
6,1,1,0.2584739354753468,0.8370683650329068
6,4,4,0.2573652118735749,0.7862064070770434
6,1,1,0.2538002772339793,0.6430209301105668
6,1,1,0.2473583383689262,0.5634571879922854
6,1,1,0.244700537373971,0.5632563390151408
6,1,1,0.2445816420631483,0.5276286362113728
6,1,1,0.2399728872782861,0.8285525026508148
6,1,1,0.2280502037085285,0.7826978480428622
6,1,1,0.211863476722562,0.6514640155087164
6,3,3,0.2097677916246992,0.5499040457700918
6,1,1,0.2052148278089183,0.5263789297660408
6,1,1,0.2023664449425758,0.7501835313929546
6,1,1,0.2013567335643263,0.8032224379907996
6,3,4,0.1959870646901479,0.6723043502994367
6,4,4,0.1933134397570483,0.584461524475005
6,4,5,0.1862416333239802,0.6839596628070838
6,4,5,0.1829932925258276,0.7355082182251301
6,1,1,0.1817732191715451,0.5872335598364858
6,1,1,0.1789475056513536,0.7714847872423976
6,1,1,0.1764449766751286,0.6017411594018147
6,1,1,0.1714502214661821,0.5480152500648711
6,3,3,0.1711288600446677,0.59745709575652
6,4,4,0.1689582342963621,0.7684523860745196
6,1,1,0.1657919667714471,0.56963681705066
6,1,1,0.1646787937839889,0.5256516696026745
6,1,1,0.1576834025819166,0.6642532834251786
6,1,1,0.1553347601660328,0.5069736940888507
6,1,1,0.1546033463002251,0.5321482417000618
6,1,1,0.1541948526722596,0.7518711234565957
6,1,1,0.1541791769409045,0.6784765694956413
6,1,1,0.1537280278982879,0.6617025052034803
6,1,1,0.1506293152049097,0.5342356726947851
6,1,1,0.1470108892752002,0.6687276622160816
6,4,4,0.1447884753365143,0.5252937142051303
6,4,4,0.1410191091608992,0.6299383852987054
6,4,3,0.1321755170017862,0.5130790767813096
6,1,1,0.1320098251637911,0.7459447738409324
6,5,5,0.1318496883668993,0.760183491125164
6,1,1,0.1308641538944757,0.6538913898558786
6,1,1,0.1278188762155912,0.7775027145960639
6,1,1,0.1199735345774506,0.5288419802003532
6,4,5,0.1166316781413688,0.7164062303563062
6,4,3,0.1150837246696243,0.623037088753962
6,1,1,0.1037870858709419,0.6659848808224494
6,4,5,0.1026213923377439,0.5395692796627282
6,2,1,0.0996785214917181,0.6718621435465757
6,1,1,0.0960480293054238,0.5007945864374888
6,4,4,0.0948311870917671,0.5339255933337819
6,4,4,0.0839059833094797,0.530895807823266
6,1,1,0.0811385643966684,0.6232589656043549
6,1,1,0.077329708539401,0.5666379673424544
6,5,5,0.0769365088131714,0.5470788796264648
6,1,1,0.0742990050712063,0.6752144185262958
7,1,1,0.4364875603586876,0.8865891711798045
7,1,1,0.4345723392039664,0.87437239107484
7,3,3,0.4332401455535983,0.8071985013416242
7,1,1,0.4213017678084599,0.7922406038129872
7,1,1,0.3609642094678003,0.8269312152978388
7,1,1,0.3378739023568889,0.9043096531975832
7,1,1,0.3031702321142056,0.58767791559929
7,1,1,0.2906362983597232,0.8366340301855758
7,4,4,0.2762802123579596,0.8050763080943081
7,4,5,0.2677510918638746,0.7885601227876757
7,1,1,0.2672788311128299,0.5345035413949759
7,4,4,0.2646817700954688,0.8894119842602848
7,1,1,0.2565927282925871,0.5694900102909806
7,4,4,0.2503808815539703,0.7829175342019371
7,1,1,0.2459534252489493,0.5628623040293677
7,1,1,0.2370761336444931,0.6721847760970396
7,1,1,0.2359060018959496,0.6397826897757708
7,1,1,0.2301594887706517,0.6205895410690145
7,1,1,0.2248281767378231,0.7943754986132633
7,1,1,0.2196320621838508,0.5010319039423642
7,1,1,0.2062269171486427,0.5922627458037395
7,1,1,0.2049156324656,0.6513774805821273
7,1,1,0.204118526446398,0.7988980541891608
7,5,4,0.19180539972709,0.8414020862132169
7,4,4,0.1867069612163782,0.6307319465640525
7,3,4,0.1838793787709107,0.5137361069564448
7,1,1,0.1798859311608056,0.7334423473914391
7,3,2,0.1684424544330465,0.7922812248707316
7,1,1,0.1664432371819303,0.7260051614872579
7,1,1,0.1631501901660163,0.6949894220092809
7,3,2,0.1578846982890168,0.5837112589984916
7,1,1,0.1466522754927887,0.5005085562400673
7,1,1,0.1384847604345666,0.7180318491949469
7,4,5,0.1229712936224227,0.541386531135255
7,1,1,0.1184097681498813,0.6890711879956526
7,1,1,0.1142351864148117,0.5027552496147892
7,1,1,0.1029390282182293,0.5043765614577193
7,3,4,0.1022027198859629,0.6411753832725631
7,1,1,0.0990367760635836,0.6075132025361276
7,1,1,0.0975875931702008,0.5699529501801343
7,4,4,0.0963369190296691,0.6490760654504792
7,5,4,0.0888709700212719,0.5019919075784399
7,4,3,0.0887597103275149,0.6106158630706124
7,1,1,0.0855714019716606,0.5327429675344523
7,1,1,0.0845141408568673,0.6013243608194234
7,4,4,0.0829623489032168,0.8018410569141307
7,3,3,0.0534156386560816,0.6062244478104439
7,3,3,0.0471146581239173,0.7666255931132393
8,1,1,0.4260766191247441,0.8121435350177327
8,1,1,0.3777846083417165,0.7884052010184415
8,1,1,0.3625027524099335,0.7140404113689243
8,4,5,0.3454344069172634,0.7123298236554897
8,1,1,0.310745566519669,0.7311027035663967
8,1,1,0.3048230693830082,0.6241919916400269
8,1,1,0.3025683530957417,0.5631288402300753
8,1,1,0.3014383747649948,0.6662387401380797
8,1,1,0.2962883803135324,0.5743620126523237
8,1,1,0.2869140816454595,0.7250309045931237
8,1,1,0.286040278323544,0.6013171702134704
8,1,1,0.271923949714087,0.5812455662003688
8,4,5,0.2645313748255871,0.6673283946111379
8,4,4,0.2622171671045238,0.6365607027002919
8,1,1,0.2545076397004254,0.7320902919059192
8,1,1,0.250869947878292,0.7872561198331106
8,3,3,0.2508544882501304,0.6763424238478454
8,1,1,0.2395816486065027,0.658539743538743
8,4,4,0.2365073483723662,0.5432791897169573
8,1,1,0.2336480737423774,0.5994379441372619
8,1,1,0.2331516900248393,0.5916385166532602
8,1,1,0.2265831828468035,0.863439038541413
8,1,1,0.2234465114492292,0.6726586671900502
8,1,1,0.2224301012818364,0.5600434112365597
8,4,4,0.2210363310837574,0.7745625404461391
8,1,1,0.2173000295370519,0.6039622983002528
8,4,4,0.2117883087467633,0.8259281630957878
8,1,1,0.1984818537506472,0.7894188836924985
8,4,5,0.1876480743893289,0.6647776832554035
8,4,4,0.1839265466710818,0.7263349311264578
8,4,4,0.1713102621673365,0.7758236003951456
8,4,4,0.1610252278782862,0.7635619536784741
8,1,1,0.1600835381666166,0.5635797691575516
8,1,1,0.1580129408724905,0.6567902419585975
8,1,1,0.1571029052837753,0.7136261672106428
8,1,1,0.1535368993149781,0.5801311185869864
8,1,1,0.1435630985073204,0.6339525402979411
8,1,1,0.1427777780676675,0.7831012258532366
8,1,1,0.1421526562525586,0.6607745448471299
8,1,1,0.1381268548783047,0.8277496024598107
8,1,1,0.1374456004923724,0.6541286281691258
8,4,4,0.136694493682722,0.6829856318499125
8,4,4,0.1257510353853587,0.7768834183932668
8,1,1,0.1213187745997387,0.696531421821605
8,4,4,0.1169851561839355,0.7696433186736183
8,1,1,0.115736292687675,0.5328977949940636
8,3,2,0.1113833762778509,0.7648204648445802
8,1,1,0.1112846414471662,0.5179690529538082
8,4,5,0.1019892995419987,0.6662084010968946
8,1,1,0.1005731372096778,0.5473507883676624
8,1,1,0.091309129958261,0.5931749477538478
8,1,1,0.083419578421535,0.5807311663374766
8,1,1,0.078337831373503,0.5292037577669084
8,4,5,0.0659859005410755,0.652328116509635
8,4,4,0.0619331799918855,0.6671161382842612
8,1,1,0.0562489021523284,0.7707231625535401
9,1,1,0.4490905752928378,0.7150918343183915
9,1,1,0.444849765164035,0.6286331616631116
9,1,1,0.3728406760096184,0.712612214240567
9,1,1,0.3605662768577178,0.6803434373919789
9,4,4,0.354480400957875,0.8043016738174926
9,4,4,0.3475321687450778,0.7210996431160722
9,1,1,0.3362266188999737,0.8116785594845614
9,1,1,0.3184720479086074,0.7186685820232798
9,4,4,0.3085396822976348,0.838980190525665
9,1,1,0.2998289998249993,0.6187046643143413
9,1,1,0.2844391725426485,0.6168849701903265
9,1,1,0.2764613777317685,0.6483597875635095
9,1,1,0.2755507312941911,0.8103832941645994
9,4,4,0.2753145033675214,0.7380702852718197
9,4,4,0.2731261832611237,0.834016387096936
9,1,1,0.2712783065547434,0.673277413513377
9,4,4,0.2663370745581625,0.6759180768628283
9,1,1,0.2650092221941465,0.5537394276882246
9,4,4,0.2643721909705406,0.7312840779559543
9,1,1,0.2634575932579276,0.6915145075449699
9,1,1,0.2602652738673869,0.7773420902920722
9,1,1,0.2554999075215263,0.6689238750698262
9,1,1,0.2548418497233148,0.5964904249637925
9,1,1,0.248348389061306,0.7278224639318753
9,4,4,0.2396300259553735,0.5560579955934696
9,1,1,0.2372531841413117,0.6565209918970087
9,4,4,0.2344285999123369,0.7873468647211793
9,1,1,0.233967251177701,0.7856358172887107
9,5,4,0.2315123102017841,0.5694574800320087
