display_name,count_bin,abs_error
BerryMTL-TeacherAlignedDet (ours),"(34.0, 60.0]",9.115131578947368
BerryMTL-TeacherAlignedDet (ours),"(60.0, 269.0]",22.008223684210527
ConvNeXtV2-T Regression,"(1.999, 22.0]",13.78359375
ConvNeXtV2-T Regression,"(22.0, 34.0]",3.8708881578947367
ConvNeXtV2-T Regression,"(34.0, 60.0]",20.252467105263158
ConvNeXtV2-T Regression,"(60.0, 269.0]",120.1998355263158
DINOv2 ViT-B/14 Linear Regression,"(1.999, 22.0]",12.115625
DINOv2 ViT-B/14 Linear Regression,"(22.0, 34.0]",4.592105263157895
DINOv2 ViT-B/14 Linear Regression,"(34.0, 60.0]",14.042763157894736
DINOv2 ViT-B/14 Linear Regression,"(60.0, 269.0]",106.27631578947368
DeiT-III-S Regression,"(1.999, 22.0]",11.90390625
DeiT-III-S Regression,"(22.0, 34.0]",6.068256578947368
DeiT-III-S Regression,"(34.0, 60.0]",14.467105263157896
DeiT-III-S Regression,"(60.0, 269.0]",110.44490131578948
EfficientNet-B4 Regression,"(1.999, 22.0]",9.07734375
EfficientNet-B4 Regression,"(22.0, 34.0]",9.27014802631579
EfficientNet-B4 Regression,"(34.0, 60.0]",13.719572368421053
EfficientNet-B4 Regression,"(60.0, 269.0]",45.60526315789474
EfficientNetV2-S Regression,"(1.999, 22.0]",6.914453125
EfficientNetV2-S Regression,"(22.0, 34.0]",8.479029605263158
EfficientNetV2-S Regression,"(34.0, 60.0]",9.490953947368421
EfficientNetV2-S Regression,"(60.0, 269.0]",30.914473684210527
MaxViT-T Regression,"(1.999, 22.0]",13.78203125
MaxViT-T Regression,"(22.0, 34.0]",3.8371710526315788
MaxViT-T Regression,"(34.0, 60.0]",18.111019736842106
MaxViT-T Regression,"(60.0, 269.0]",117.99588815789474
MobileNetV3-Large Regression,"(1.999, 22.0]",15.02421875
MobileNetV3-Large Regression,"(22.0, 34.0]",11.33141447368421
MobileNetV3-Large Regression,"(34.0, 60.0]",10.605263157894736
MobileNetV3-Large Regression,"(60.0, 269.0]",34.83552631578947
ResNet-50 Regression,"(1.999, 22.0]",5.461669921875
ResNet-50 Regression,"(22.0, 34.0]",8.898848684210526
ResNet-50 Regression,"(34.0, 60.0]",17.04358552631579
ResNet-50 Regression,"(60.0, 269.0]",26.866776315789473
Swin-T Regression,"(1.999, 22.0]",9.643359375
Swin-T Regression,"(22.0, 34.0]",7.790296052631579
Swin-T Regression,"(34.0, 60.0]",15.37828947368421
Swin-T Regression,"(60.0, 269.0]",63.6110197368421
ViT-B/16 Regression,"(1.999, 22.0]",14.56171875
ViT-B/16 Regression,"(22.0, 34.0]",9.725328947368421
ViT-B/16 Regression,"(34.0, 60.0]",23.799342105263158
ViT-B/16 Regression,"(60.0, 269.0]",52.67927631578947
