class_id,class_name,iou,dice,method,display_name
0,background,0.9869950563901572,0.993454969317604,fpn_convnextv2_tiny_tta,FPN ConvNeXtV2-T + Flip TTA
1,green_immature,0.6349324501759829,0.7767078696219397,fpn_convnextv2_tiny_tta,FPN ConvNeXtV2-T + Flip TTA
2,pale_pink,0.479124893291775,0.647849137641769,fpn_convnextv2_tiny_tta,FPN ConvNeXtV2-T + Flip TTA
3,pink_turns_purple,0.511083180987203,0.6764461247637051,fpn_convnextv2_tiny_tta,FPN ConvNeXtV2-T + Flip TTA
4,fully_ripe,0.6767162392949301,0.8071923244203726,fpn_convnextv2_tiny_tta,FPN ConvNeXtV2-T + Flip TTA
5,over_ripe,0.1344997967957904,0.2371085427704142,fpn_convnextv2_tiny_tta,FPN ConvNeXtV2-T + Flip TTA
0,background,0.9867578955246182,0.9933348172390752,fpn_efficientnetv2_s,FPN EfficientNetV2-S
1,green_immature,0.6199456222766615,0.7653906572560056,fpn_efficientnetv2_s,FPN EfficientNetV2-S
2,pale_pink,0.3465802293912309,0.5147561531449407,fpn_efficientnetv2_s,FPN EfficientNetV2-S
3,pink_turns_purple,0.4140865820489574,0.5856594459003518,fpn_efficientnetv2_s,FPN EfficientNetV2-S
4,fully_ripe,0.6075707828055192,0.7558868191734509,fpn_efficientnetv2_s,FPN EfficientNetV2-S
5,over_ripe,0.1144326198732512,0.2053648068669528,fpn_efficientnetv2_s,FPN EfficientNetV2-S
0,background,0.9793541572614678,0.9895694044126512,berrymtl_unified,BerryMTL-ConvNeXtV2 (ours)
1,green_immature,0.4956213856171582,0.6627631703897352,berrymtl_unified,BerryMTL-ConvNeXtV2 (ours)
2,pale_pink,0.4045678870653047,0.5760745219807158,berrymtl_unified,BerryMTL-ConvNeXtV2 (ours)
3,pink_turns_purple,0.374686251503765,0.545122570468566,berrymtl_unified,BerryMTL-ConvNeXtV2 (ours)
4,fully_ripe,0.562598276429503,0.7200805029876594,berrymtl_unified,BerryMTL-ConvNeXtV2 (ours)
5,over_ripe,0.103129884764986,0.1869768668028735,berrymtl_unified,BerryMTL-ConvNeXtV2 (ours)
0,background,0.9847931328175002,0.992338311267274,berrymtl_roi_attention,BerryMTL-ROI-Attention (ours)
1,green_immature,0.5771738464707881,0.7319089747301085,berrymtl_roi_attention,BerryMTL-ROI-Attention (ours)
2,pale_pink,0.4264330368935458,0.5979012345679012,berrymtl_roi_attention,BerryMTL-ROI-Attention (ours)
3,pink_turns_purple,0.422303142146282,0.5938300066032599,berrymtl_roi_attention,BerryMTL-ROI-Attention (ours)
4,fully_ripe,0.6545138069388718,0.7911856694019764,berrymtl_roi_attention,BerryMTL-ROI-Attention (ours)
5,over_ripe,0.1251479430005207,0.2224559779521595,berrymtl_roi_attention,BerryMTL-ROI-Attention (ours)
0,background,0.9786994551582596,0.9892350782296866,berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours)
1,green_immature,0.4930505258397213,0.6604606037192478,berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours)
2,pale_pink,0.4013959951992925,0.572851637330689,berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours)
3,pink_turns_purple,0.3703846153846153,0.5405557114790907,berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours)
4,fully_ripe,0.5625642783681865,0.7200526546731022,berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours)
5,over_ripe,0.1028299923701186,0.1864838516934494,berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours)
0,background,0.9820682250843192,0.9909529981416668,berrymtl_centerdet,BerryMTL-CenterDet (ours)
1,green_immature,0.5476991450881146,0.7077591879873173,berrymtl_centerdet,BerryMTL-CenterDet (ours)
2,pale_pink,0.3959658400628886,0.5673001855762463,berrymtl_centerdet,BerryMTL-CenterDet (ours)
3,pink_turns_purple,0.4600776688333149,0.6302098561659986,berrymtl_centerdet,BerryMTL-CenterDet (ours)
4,fully_ripe,0.5733772963317672,0.7288490785631154,berrymtl_centerdet,BerryMTL-CenterDet (ours)
5,over_ripe,0.1379737176769817,0.2424901656931696,berrymtl_centerdet,BerryMTL-CenterDet (ours)
0,background,0.9824207217208408,0.9911324180147292,berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours)
1,green_immature,0.55847058054555,0.7166905651180848,berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours)
2,pale_pink,0.4132462195057695,0.5848184326299306,berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours)
