method,display_name,true_class,pred_class,count
efficientnet_b4,EfficientNet-B4,fully_ripe,over_ripe,65
efficientnet_b4,EfficientNet-B4,fully_ripe,pink_turns_purple,13
efficientnet_b4,EfficientNet-B4,green_immature,fully_ripe,20
efficientnet_b4,EfficientNet-B4,green_immature,over_ripe,3
efficientnet_b4,EfficientNet-B4,green_immature,pale_pink,2
efficientnet_b4,EfficientNet-B4,green_immature,pink_turns_purple,5
efficientnet_b4,EfficientNet-B4,over_ripe,fully_ripe,78
efficientnet_b4,EfficientNet-B4,over_ripe,pink_turns_purple,2
efficientnet_b4,EfficientNet-B4,pale_pink,fully_ripe,3
efficientnet_b4,EfficientNet-B4,pale_pink,green_immature,22
efficientnet_b4,EfficientNet-B4,pale_pink,pink_turns_purple,34
efficientnet_b4,EfficientNet-B4,pink_turns_purple,fully_ripe,32
efficientnet_b4,EfficientNet-B4,pink_turns_purple,green_immature,2
efficientnet_b4,EfficientNet-B4,pink_turns_purple,over_ripe,3
efficientnet_b4,EfficientNet-B4,pink_turns_purple,pale_pink,9
vit_base_patch16_224,ViT-Base/16,fully_ripe,green_immature,15
vit_base_patch16_224,ViT-Base/16,fully_ripe,over_ripe,43
vit_base_patch16_224,ViT-Base/16,fully_ripe,pink_turns_purple,15
vit_base_patch16_224,ViT-Base/16,green_immature,fully_ripe,24
vit_base_patch16_224,ViT-Base/16,green_immature,over_ripe,2
vit_base_patch16_224,ViT-Base/16,green_immature,pale_pink,7
vit_base_patch16_224,ViT-Base/16,green_immature,pink_turns_purple,2
vit_base_patch16_224,ViT-Base/16,over_ripe,fully_ripe,91
vit_base_patch16_224,ViT-Base/16,over_ripe,green_immature,2
vit_base_patch16_224,ViT-Base/16,over_ripe,pink_turns_purple,3
vit_base_patch16_224,ViT-Base/16,pale_pink,fully_ripe,1
vit_base_patch16_224,ViT-Base/16,pale_pink,green_immature,17
vit_base_patch16_224,ViT-Base/16,pale_pink,pink_turns_purple,20
vit_base_patch16_224,ViT-Base/16,pink_turns_purple,fully_ripe,31
vit_base_patch16_224,ViT-Base/16,pink_turns_purple,green_immature,2
vit_base_patch16_224,ViT-Base/16,pink_turns_purple,over_ripe,2
vit_base_patch16_224,ViT-Base/16,pink_turns_purple,pale_pink,18
swin_tiny,Swin-T,fully_ripe,green_immature,20
swin_tiny,Swin-T,fully_ripe,over_ripe,54
swin_tiny,Swin-T,fully_ripe,pink_turns_purple,22
swin_tiny,Swin-T,green_immature,fully_ripe,21
swin_tiny,Swin-T,green_immature,over_ripe,1
swin_tiny,Swin-T,green_immature,pale_pink,20
swin_tiny,Swin-T,green_immature,pink_turns_purple,2
swin_tiny,Swin-T,over_ripe,fully_ripe,82
swin_tiny,Swin-T,over_ripe,green_immature,1
swin_tiny,Swin-T,over_ripe,pale_pink,1
swin_tiny,Swin-T,over_ripe,pink_turns_purple,2
swin_tiny,Swin-T,pale_pink,green_immature,11
swin_tiny,Swin-T,pale_pink,pink_turns_purple,19
swin_tiny,Swin-T,pink_turns_purple,fully_ripe,24
swin_tiny,Swin-T,pink_turns_purple,green_immature,1
swin_tiny,Swin-T,pink_turns_purple,over_ripe,1
