method,display_name,image_index,filename,image_path,tp,fp,fn,gt,pred,precision50,recall50,failure_score
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,23,20260430_110337.jpg,.\data\combined_514\images\20260430_110337.jpg,15,2,7,22,17,0.8823529411764706,0.6818181818181818,9
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,24,20260430_110428.jpg,.\data\combined_514\images\20260430_110428.jpg,11,10,11,22,21,0.5238095238095238,0.5,21
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,25,20260430_110502.jpg,.\data\combined_514\images\20260430_110502.jpg,14,7,2,16,21,0.6666666666666666,0.875,9
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,26,20260430_110635.jpg,.\data\combined_514\images\20260430_110635.jpg,23,20,7,30,43,0.5348837209302325,0.7666666666666667,27
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,27,20260430_110647.jpg,.\data\combined_514\images\20260430_110647.jpg,43,11,17,60,54,0.7962962962962963,0.7166666666666667,28
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,28,20260430_110740.jpg,.\data\combined_514\images\20260430_110740.jpg,21,7,9,30,28,0.75,0.7,16
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,29,20260430_110757.jpg,.\data\combined_514\images\20260430_110757.jpg,15,10,6,21,25,0.6,0.7142857142857143,16
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,30,20260430_110820.jpg,.\data\combined_514\images\20260430_110820.jpg,2,2,2,4,4,0.5,0.5,4
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,31,20260430_111052.jpg,.\data\combined_514\images\20260430_111052.jpg,9,5,2,11,14,0.6428571428571429,0.8181818181818182,7
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,32,20260430_111109.jpg,.\data\combined_514\images\20260430_111109.jpg,29,9,6,35,38,0.7631578947368421,0.8285714285714286,15
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,33,20260430_111122.jpg,.\data\combined_514\images\20260430_111122.jpg,27,14,7,34,41,0.6585365853658537,0.7941176470588235,21
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,34,20260430_111129.jpg,.\data\combined_514\images\20260430_111129.jpg,41,6,15,56,47,0.8723404255319149,0.7321428571428571,21
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,35,20260430_111135.jpg,.\data\combined_514\images\20260430_111135.jpg,37,24,12,49,61,0.6065573770491803,0.7551020408163265,36
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,36,20260430_111203.jpg,.\data\combined_514\images\20260430_111203.jpg,9,10,1,10,19,0.47368421052631576,0.9,11
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,37,20260430_111251.jpg,.\data\combined_514\images\20260430_111251.jpg,20,18,4,24,38,0.5263157894736842,0.8333333333333334,22
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,38,20260430_111306.jpg,.\data\combined_514\images\20260430_111306.jpg,40,12,13,53,52,0.7692307692307693,0.7547169811320755,25
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,39,20260430_111434.jpg,.\data\combined_514\images\20260430_111434.jpg,32,22,26,58,54,0.5925925925925926,0.5517241379310345,48
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,40,20260430_111507.jpg,.\data\combined_514\images\20260430_111507.jpg,39,15,6,45,54,0.7222222222222222,0.8666666666666667,21
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,41,20260430_111630.jpg,.\data\combined_514\images\20260430_111630.jpg,26,21,34,60,47,0.5531914893617021,0.43333333333333335,55
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,42,20260430_111919.jpg,.\data\combined_514\images\20260430_111919.jpg,3,10,0,3,13,0.23076923076923078,1.0,10
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,43,20260430_111941.jpg,.\data\combined_514\images\20260430_111941.jpg,4,9,1,5,13,0.3076923076923077,0.8,10
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,44,20260430_111952.jpg,.\data\combined_514\images\20260430_111952.jpg,12,16,14,26,28,0.42857142857142855,0.46153846153846156,30
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,45,20260430_112049.jpg,.\data\combined_514\images\20260430_112049.jpg,20,10,4,24,30,0.6666666666666666,0.8333333333333334,14
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,46,20260430_112103.jpg,.\data\combined_514\images\20260430_112103.jpg,19,13,4,23,32,0.59375,0.8260869565217391,17
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,47,20260430_112241.jpg,.\data\combined_514\images\20260430_112241.jpg,17,3,23,40,20,0.85,0.425,26
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,48,20260430_112314.jpg,.\data\combined_514\images\20260430_112314.jpg,39,25,22,61,64,0.609375,0.639344262295082,47
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,49,20260430_112502.jpg,.\data\combined_514\images\20260430_112502.jpg,35,17,105,140,52,0.6730769230769231,0.25,122
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,50,20260430_112536.jpg,.\data\combined_514\images\20260430_112536.jpg,9,5,4,13,14,0.6428571428571429,0.6923076923076923,9
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,51,20260430_113032.jpg,.\data\combined_514\images\20260430_113032.jpg,11,10,7,18,21,0.5238095238095238,0.6111111111111112,17
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,52,20260430_113107.jpg,.\data\combined_514\images\20260430_113107.jpg,32,12,5,37,44,0.7272727272727273,0.8648648648648649,17
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,53,20260430_113229.jpg,.\data\combined_514\images\20260430_113229.jpg,26,23,28,54,49,0.5306122448979592,0.48148148148148145,51
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,54,20260430_113251.jpg,.\data\combined_514\images\20260430_113251.jpg,6,13,7,13,19,0.3157894736842105,0.46153846153846156,20
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,55,20260430_113345.jpg,.\data\combined_514\images\20260430_113345.jpg,8,6,3,11,14,0.5714285714285714,0.7272727272727273,9
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,56,20260430_113507.jpg,.\data\combined_514\images\20260430_113507.jpg,11,6,5,16,17,0.6470588235294118,0.6875,11
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,57,20260430_113627.jpg,.\data\combined_514\images\20260430_113627.jpg,31,4,14,45,35,0.8857142857142857,0.6888888888888889,18
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,58,20260430_113730.jpg,.\data\combined_514\images\20260430_113730.jpg,34,8,19,53,42,0.8095238095238095,0.6415094339622641,27
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,59,20260430_113818.jpg,.\data\combined_514\images\20260430_113818.jpg,19,8,14,33,27,0.7037037037037037,0.5757575757575758,22
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,60,20260430_113824.jpg,.\data\combined_514\images\20260430_113824.jpg,19,13,21,40,32,0.59375,0.475,34
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,61,20260430_113919.jpg,.\data\combined_514\images\20260430_113919.jpg,44,13,48,92,57,0.7719298245614035,0.4782608695652174,61
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,62,20260430_114008.jpg,.\data\combined_514\images\20260430_114008.jpg,25,10,10,35,35,0.7142857142857143,0.7142857142857143,20
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,63,20260430_114051.jpg,.\data\combined_514\images\20260430_114051.jpg,21,9,5,26,30,0.7,0.8076923076923077,14
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,64,20260430_114124.jpg,.\data\combined_514\images\20260430_114124.jpg,60,13,20,80,73,0.821917808219178,0.75,33
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,65,20260430_114129.jpg,.\data\combined_514\images\20260430_114129.jpg,17,12,4,21,29,0.5862068965517241,0.8095238095238095,16
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,66,20260430_114341.jpg,.\data\combined_514\images\20260430_114341.jpg,22,14,12,34,36,0.6111111111111112,0.6470588235294118,26
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,67,20260430_114516.jpg,.\data\combined_514\images\20260430_114516.jpg,22,5,7,29,27,0.8148148148148148,0.7586206896551724,12
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,68,20260430_114527.jpg,.\data\combined_514\images\20260430_114527.jpg,17,3,6,23,20,0.85,0.7391304347826086,9
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,69,20260430_114546.jpg,.\data\combined_514\images\20260430_114546.jpg,7,39,118,125,46,0.15217391304347827,0.056,157
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,70,20260430_114601.jpg,.\data\combined_514\images\20260430_114601.jpg,25,4,16,41,29,0.8620689655172413,0.6097560975609756,20
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,71,20260430_114650.jpg,.\data\combined_514\images\20260430_114650.jpg,10,13,9,19,23,0.43478260869565216,0.5263157894736842,22
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,72,20260430_115015.jpg,.\data\combined_514\images\20260430_115015.jpg,9,9,3,12,18,0.5,0.75,12
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,73,20260430_115039.jpg,.\data\combined_514\images\20260430_115039.jpg,2,6,0,2,8,0.25,1.0,6
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,74,20260430_115223.jpg,.\data\combined_514\images\20260430_115223.jpg,19,9,6,25,28,0.6785714285714286,0.76,15
