method,display_name,true_class,support,errors,error_rate
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),green_immature,2463,78,0.031668696711327646
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),over_ripe,133,74,0.556390977443609
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),pale_pink,106,43,0.4056603773584906
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),pink_turns_purple,128,53,0.4140625
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),fully_ripe,918,207,0.22549019607843138
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),green_immature,2463,79,0.03207470564352416
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),over_ripe,133,71,0.5338345864661654
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),pale_pink,106,45,0.42452830188679247
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),pink_turns_purple,128,55,0.4296875
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),fully_ripe,918,141,0.15359477124183007
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),green_immature,2463,84,0.0341047503045067
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),over_ripe,133,103,0.7744360902255639
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),pale_pink,106,46,0.4339622641509434
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),pink_turns_purple,128,57,0.4453125
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),fully_ripe,918,196,0.21350762527233116
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),green_immature,2463,81,0.03288672350791717
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),over_ripe,133,85,0.6390977443609023
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),pale_pink,106,52,0.49056603773584906
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),pink_turns_purple,128,55,0.4296875
berrymtl_centerdet_decoupled_residual,BerryMTL-DecoupledCenterDet+ResidualCount (ours),fully_ripe,918,145,0.1579520697167756
berrymtl_centerdet_decoupled_residual,BerryMTL-DecoupledCenterDet+ResidualCount (ours),green_immature,2463,83,0.033698741372310194
berrymtl_centerdet_decoupled_residual,BerryMTL-DecoupledCenterDet+ResidualCount (ours),over_ripe,133,97,0.7293233082706767
berrymtl_centerdet_decoupled_residual,BerryMTL-DecoupledCenterDet+ResidualCount (ours),pale_pink,106,50,0.4716981132075472
berrymtl_centerdet_decoupled_residual,BerryMTL-DecoupledCenterDet+ResidualCount (ours),pink_turns_purple,128,60,0.46875
berrymtl_centerdet_shared_matched,BerryMTL-SharedCenterDet Matched (ours),fully_ripe,918,149,0.16230936819172112
berrymtl_centerdet_shared_matched,BerryMTL-SharedCenterDet Matched (ours),green_immature,2463,91,0.036946812829882256
berrymtl_centerdet_shared_matched,BerryMTL-SharedCenterDet Matched (ours),over_ripe,133,85,0.6390977443609023
berrymtl_centerdet_shared_matched,BerryMTL-SharedCenterDet Matched (ours),pale_pink,106,52,0.49056603773584906
berrymtl_centerdet_shared_matched,BerryMTL-SharedCenterDet Matched (ours),pink_turns_purple,128,64,0.5
berrymtl_centerdet_aligned_highres,BerryMTL-AlignedHighResCenterDet (ours),fully_ripe,918,152,0.1655773420479303
berrymtl_centerdet_aligned_highres,BerryMTL-AlignedHighResCenterDet (ours),green_immature,2463,102,0.04141291108404385
berrymtl_centerdet_aligned_highres,BerryMTL-AlignedHighResCenterDet (ours),over_ripe,133,91,0.6842105263157895
berrymtl_centerdet_aligned_highres,BerryMTL-AlignedHighResCenterDet (ours),pale_pink,106,48,0.4528301886792453
berrymtl_centerdet_aligned_highres,BerryMTL-AlignedHighResCenterDet (ours),pink_turns_purple,128,65,0.5078125
berrymtl_centerdet_highres_residual,BerryMTL-HighResCenterDet+ResidualCount (ours),fully_ripe,918,147,0.16013071895424835
berrymtl_centerdet_highres_residual,BerryMTL-HighResCenterDet+ResidualCount (ours),green_immature,2463,105,0.04263093788063337
berrymtl_centerdet_highres_residual,BerryMTL-HighResCenterDet+ResidualCount (ours),over_ripe,133,93,0.6992481203007519
berrymtl_centerdet_highres_residual,BerryMTL-HighResCenterDet+ResidualCount (ours),pale_pink,106,49,0.46226415094339623
berrymtl_centerdet_highres_residual,BerryMTL-HighResCenterDet+ResidualCount (ours),pink_turns_purple,128,71,0.5546875
berrymtl_centerdet_hitile_quality,BerryMTL-HiTile-QualityDet (ours),fully_ripe,918,105,0.11437908496732026
berrymtl_centerdet_hitile_quality,BerryMTL-HiTile-QualityDet (ours),green_immature,2463,69,0.028014616321559074
berrymtl_centerdet_hitile_quality,BerryMTL-HiTile-QualityDet (ours),over_ripe,133,97,0.7293233082706767
berrymtl_centerdet_hitile_quality,BerryMTL-HiTile-QualityDet (ours),pale_pink,106,33,0.3113207547169811
berrymtl_centerdet_hitile_quality,BerryMTL-HiTile-QualityDet (ours),pink_turns_purple,128,55,0.4296875
berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours),fully_ripe,918,101,0.11002178649237472
berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours),green_immature,2463,91,0.036946812829882256
berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours),over_ripe,133,106,0.7969924812030075
berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours),pale_pink,106,37,0.3490566037735849
berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours),pink_turns_purple,128,44,0.34375
berrymtl_specialist_guided_distill,BerryMTL-SpecialistGuidedDistill (ours),fully_ripe,918,120,0.13071895424836602
berrymtl_specialist_guided_distill,BerryMTL-SpecialistGuidedDistill (ours),green_immature,2463,66,0.02679658952496955
berrymtl_specialist_guided_distill,BerryMTL-SpecialistGuidedDistill (ours),over_ripe,133,95,0.7142857142857143
berrymtl_specialist_guided_distill,BerryMTL-SpecialistGuidedDistill (ours),pale_pink,106,44,0.41509433962264153
berrymtl_specialist_guided_distill,BerryMTL-SpecialistGuidedDistill (ours),pink_turns_purple,128,52,0.40625
berrymtl_specialist_adapter_fusion,BerryMTL-SpecialistAdapterFusion (ours),fully_ripe,918,120,0.13071895424836602
berrymtl_specialist_adapter_fusion,BerryMTL-SpecialistAdapterFusion (ours),green_immature,2463,68,0.027608607389362567
berrymtl_specialist_adapter_fusion,BerryMTL-SpecialistAdapterFusion (ours),over_ripe,133,101,0.7593984962406015
berrymtl_specialist_adapter_fusion,BerryMTL-SpecialistAdapterFusion (ours),pale_pink,106,39,0.36792452830188677
berrymtl_specialist_adapter_fusion,BerryMTL-SpecialistAdapterFusion (ours),pink_turns_purple,128,47,0.3671875
berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours),fully_ripe,918,105,0.11437908496732026
berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours),green_immature,2463,68,0.027608607389362567
berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours),over_ripe,133,101,0.7593984962406015
berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours),pale_pink,106,42,0.39622641509433965
berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours),pink_turns_purple,128,49,0.3828125
