class_id,ap50,ap50_95,tp50,fp50,gt,class_name,method,display_name
4,0.3680342632570884,0.1616440970088947,434,1458,918,fully_ripe,berrymtl_centerdet_shared_matched,BerryMTL-SharedCenterDet Matched (ours)
5,0.0854631973961302,0.0275525997203827,33,202,133,over_ripe,berrymtl_centerdet_shared_matched,BerryMTL-SharedCenterDet Matched (ours)
1,0.3403934982646519,0.1244369500289797,1193,10122,2463,green_immature,berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours)
2,0.283478606336397,0.1107674481939302,45,312,106,pale_pink,berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours)
3,0.281217214267551,0.1249419832905503,52,208,128,pink_turns_purple,berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours)
4,0.3604105972786686,0.1476543054746213,428,1974,918,fully_ripe,berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours)
5,0.0484338073956497,0.0140976062834293,20,298,133,over_ripe,berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours)
1,0.1643906005822118,0.0681487755355487,607,936,2463,green_immature,berrymtl_roi_attention,BerryMTL-ROI-Attention (ours)
2,0.3183695069507683,0.2005221231178399,42,65,106,pale_pink,berrymtl_roi_attention,BerryMTL-ROI-Attention (ours)
3,0.3083128713651695,0.1874058499303937,50,87,128,pink_turns_purple,berrymtl_roi_attention,BerryMTL-ROI-Attention (ours)
4,0.2524692944027715,0.1293707843167472,326,421,918,fully_ripe,berrymtl_roi_attention,BerryMTL-ROI-Attention (ours)
5,0.0418765698377633,0.016761647685282,19,100,133,over_ripe,berrymtl_roi_attention,BerryMTL-ROI-Attention (ours)
1,0.113431074193948,0.037367029479397,452,955,2463,green_immature,berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours)
2,0.2678008918856398,0.1193515700502111,37,60,106,pale_pink,berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours)
3,0.2358667090647562,0.097936561901651,40,70,128,pink_turns_purple,berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours)
4,0.1772671088411229,0.0779424304209168,238,320,918,fully_ripe,berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours)
5,0.0296508791349648,0.0112860296937386,18,108,133,over_ripe,berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours)
1,0.4997136841972966,0.2210893030481346,1434,1921,2463,green_immature,berrymtl_specialist_adapter_fusion,BerryMTL-SpecialistAdapterFusion (ours)
2,0.4086402705374263,0.2210142252980989,53,73,106,pale_pink,berrymtl_specialist_adapter_fusion,BerryMTL-SpecialistAdapterFusion (ours)
3,0.4090054179947394,0.2392446435149692,68,98,128,pink_turns_purple,berrymtl_specialist_adapter_fusion,BerryMTL-SpecialistAdapterFusion (ours)
4,0.4709272122880902,0.2355611970248992,522,803,918,fully_ripe,berrymtl_specialist_adapter_fusion,BerryMTL-SpecialistAdapterFusion (ours)
5,0.0708954849461998,0.022610125323043,23,84,133,over_ripe,berrymtl_specialist_adapter_fusion,BerryMTL-SpecialistAdapterFusion (ours)
1,0.5032403893806348,0.2247141785372503,1444,1951,2463,green_immature,berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours)
2,0.4108125556906252,0.2382584909085986,53,64,106,pale_pink,berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours)
3,0.3883876986805365,0.2372759172991853,62,90,128,pink_turns_purple,berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours)
4,0.4816141611429726,0.2405185416133086,533,781,918,fully_ripe,berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours)
5,0.0729114364361306,0.0227591714694566,23,81,133,over_ripe,berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours)
1,0.5088486066077673,0.2273845134319543,1466,1762,2463,green_immature,berrymtl_specialist_guided_distill,BerryMTL-SpecialistGuidedDistill (ours)
2,0.3682781918858463,0.2078163060719314,49,63,106,pale_pink,berrymtl_specialist_guided_distill,BerryMTL-SpecialistGuidedDistill (ours)
3,0.3479475014529447,0.2026845099630863,59,89,128,pink_turns_purple,berrymtl_specialist_guided_distill,BerryMTL-SpecialistGuidedDistill (ours)
4,0.4741737990801027,0.2366713174276324,531,760,918,fully_ripe,berrymtl_specialist_guided_distill,BerryMTL-SpecialistGuidedDistill (ours)
5,0.0701366928558768,0.0255155677691723,27,102,133,over_ripe,berrymtl_specialist_guided_distill,BerryMTL-SpecialistGuidedDistill (ours)
1,0.4751435890560772,0.2088738444198939,1364,1926,2463,green_immature,berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours)
2,0.4087402585150002,0.2179985290391552,53,87,106,pale_pink,berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours)
3,0.4333449350629426,0.2327259254028172,73,97,128,pink_turns_purple,berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours)
4,0.4664869312131732,0.2235239632080215,513,758,918,fully_ripe,berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours)
5,0.0602797787492632,0.017488995612205,21,79,133,over_ripe,berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours)
1,0.1151478934691396,0.038089470799613,452,936,2463,green_immature,berrymtl_unified,BerryMTL-ConvNeXtV2 (ours)
2,0.2715133347168799,0.1209586585302369,37,50,106,pale_pink,berrymtl_unified,BerryMTL-ConvNeXtV2 (ours)
3,0.2337052542140474,0.1066578446878606,39,68,128,pink_turns_purple,berrymtl_unified,BerryMTL-ConvNeXtV2 (ours)
4,0.1642437448172127,0.0753734710083892,221,288,918,fully_ripe,berrymtl_unified,BerryMTL-ConvNeXtV2 (ours)
5,0.0271535574833658,0.0109839733803688,16,95,133,over_ripe,berrymtl_unified,BerryMTL-ConvNeXtV2 (ours)
